rep_id,rep_name,division,month,monthly_quota,bookings,attainment_pct
1000,Allison Hill,ActiveDisclosure,2024-07-01,82042.25,0.0,0.0
1000,Allison Hill,ActiveDisclosure,2024-08-01,82042.25,0.0,0.0
1000,Allison Hill,ActiveDisclosure,2024-09-01,82042.25,45531.68,55.5
1000,Allison Hill,ActiveDisclosure,2024-10-01,82042.25,127008.56,154.8
1000,Allison Hill,ActiveDisclosure,2024-11-01,82042.25,41810.41,51.0
1000,Allison Hill,ActiveDisclosure,2024-12-01,82042.25,229388.48,279.6
1000,Allison Hill,ActiveDisclosure,2025-01-01,82042.25,30102.54,36.7
1000,Allison Hill,ActiveDisclosure,2025-02-01,82042.25,85119.26,103.8
1000,Allison Hill,ActiveDisclosure,2025-03-01,82042.25,108251.23,131.9
1000,Allison Hill,ActiveDisclosure,2025-04-01,82042.25,83892.17,102.3
1000,Allison Hill,ActiveDisclosure,2025-05-01,82042.25,116738.32,142.3
1000,Allison Hill,ActiveDisclosure,2025-06-01,82042.25,125071.09,152.4
1000,Allison Hill,ActiveDisclosure,2025-07-01,82042.25,0.0,0.0
1000,Allison Hill,ActiveDisclosure,2025-08-01,82042.25,39947.27,48.7
1000,Allison Hill,ActiveDisclosure,2025-09-01,82042.25,0.0,0.0
1000,Allison Hill,ActiveDisclosure,2025-10-01,82042.25,49444.73,60.3
1000,Allison Hill,ActiveDisclosure,2025-11-01,82042.25,69557.91,84.8
1000,Allison Hill,ActiveDisclosure,2025-12-01,82042.25,189601.9,231.1
1000,Allison Hill,ActiveDisclosure,2026-01-01,82042.25,0.0,0.0
1000,Allison Hill,ActiveDisclosure,2026-02-01,82042.25,0.0,0.0
1000,Allison Hill,ActiveDisclosure,2026-03-01,82042.25,100320.73,122.3
1000,Allison Hill,ActiveDisclosure,2026-04-01,82042.25,248967.1,303.5
1000,Allison Hill,ActiveDisclosure,2026-05-01,82042.25,176445.3,215.1
1000,Allison Hill,ActiveDisclosure,2026-06-01,82042.25,120030.15,146.3
1001,Megan Mcclain,ActiveDisclosure,2024-07-01,74105.0,0.0,0.0
1001,Megan Mcclain,ActiveDisclosure,2024-08-01,74105.0,0.0,0.0
1001,Megan Mcclain,ActiveDisclosure,2024-09-01,74105.0,95849.69,129.3
1001,Megan Mcclain,ActiveDisclosure,2024-10-01,74105.0,35210.21,47.5
1001,Megan Mcclain,ActiveDisclosure,2024-11-01,74105.0,0.0,0.0
1001,Megan Mcclain,ActiveDisclosure,2024-12-01,74105.0,30773.97,41.5
1001,Megan Mcclain,ActiveDisclosure,2025-01-01,74105.0,365437.51,493.1
1001,Megan Mcclain,ActiveDisclosure,2025-02-01,74105.0,55725.07,75.2
1001,Megan Mcclain,ActiveDisclosure,2025-03-01,74105.0,48292.98,65.2
1001,Megan Mcclain,ActiveDisclosure,2025-04-01,74105.0,150884.54,203.6
1001,Megan Mcclain,ActiveDisclosure,2025-05-01,74105.0,80326.72,108.4
1001,Megan Mcclain,ActiveDisclosure,2025-06-01,74105.0,200325.26,270.3
1001,Megan Mcclain,ActiveDisclosure,2025-07-01,74105.0,0.0,0.0
1001,Megan Mcclain,ActiveDisclosure,2025-08-01,74105.0,0.0,0.0
1001,Megan Mcclain,ActiveDisclosure,2025-09-01,74105.0,130793.46,176.5
1001,Megan Mcclain,ActiveDisclosure,2025-10-01,74105.0,0.0,0.0
1001,Megan Mcclain,ActiveDisclosure,2025-11-01,74105.0,0.0,0.0
1001,Megan Mcclain,ActiveDisclosure,2025-12-01,74105.0,50253.59,67.8
1001,Megan Mcclain,ActiveDisclosure,2026-01-01,74105.0,310568.87,419.1
1001,Megan Mcclain,ActiveDisclosure,2026-02-01,74105.0,184318.86,248.7
1001,Megan Mcclain,ActiveDisclosure,2026-03-01,74105.0,152182.03,205.4
1001,Megan Mcclain,ActiveDisclosure,2026-04-01,74105.0,192869.22,260.3
1001,Megan Mcclain,ActiveDisclosure,2026-05-01,74105.0,158126.87,213.4
1001,Megan Mcclain,ActiveDisclosure,2026-06-01,74105.0,60261.36,81.3
1002,Allen Robinson,ActiveDisclosure,2024-07-01,83929.42,0.0,0.0
